epoch;auc_2;categorical_accuracy;false_negatives_2;false_positives_2;loss;precision_2;recall_2;true_negatives_2;true_positives_2;val_auc_2;val_categorical_accuracy;val_false_negatives_2;val_false_positives_2;val_loss;val_precision_2;val_recall_2;val_true_negatives_2;val_true_positives_2
0;0.91441864;0.8659002;3021.0;3021.0;1.6120879428291863;0.8659002;0.8659002;19507.0;19507.0;0.95561785;0.93469554;163.0;163.0;0.3121845966730362;0.93469554;0.93469554;2333.0;2333.0
1;0.97023916;0.94051844;1340.0;1340.0;0.2680364874276248;0.94051844;0.94051844;21188.0;21188.0;0.9423012;0.9102564;224.0;224.0;0.3403245714994577;0.9102564;0.9102564;2272.0;2272.0
2;0.97719944;0.9485085;1160.0;1160.0;0.210701590933075;0.9485085;0.9485085;21368.0;21368.0;0.9662437;0.9338942;165.0;165.0;0.24353772631058326;0.9338942;0.9338942;2331.0;2331.0
3;0.9827523;0.95410156;1034.0;1034.0;0.1744748895818537;0.95410156;0.95410156;21494.0;21494.0;0.95404434;0.92147434;196.0;196.0;0.28302692411801755;0.92147434;0.92147434;2300.0;2300.0
4;0.9875339;0.96151453;867.0;867.0;0.14159968521826985;0.96151453;0.96151453;21661.0;21661.0;0.94619495;0.90865386;228.0;228.0;0.3327429848603713;0.90865386;0.90865386;2268.0;2268.0
5;0.9868165;0.9620028;856.0;856.0;0.1334235752424733;0.9620028;0.9620028;21672.0;21672.0;0.94135076;0.90584934;235.0;235.0;0.35309213208846557;0.90584934;0.90584934;2261.0;2261.0
6;0.9900406;0.9674627;733.0;733.0;0.11432043982627378;0.9674627;0.9674627;21795.0;21795.0;0.9656497;0.9342949;164.0;164.0;0.24060272358548948;0.9342949;0.9342949;2332.0;2332.0
7;0.99109316;0.9690607;697.0;697.0;0.10586721343729137;0.9690607;0.9690607;21831.0;21831.0;0.93798614;0.8926282;268.0;268.0;0.38405888355695283;0.8926282;0.8926282;2228.0;2228.0
8;0.99223506;0.9714134;644.0;644.0;0.09608327538113702;0.9714134;0.9714134;21884.0;21884.0;0.9614606;0.92908657;177.0;177.0;0.2670247184160428;0.92908657;0.92908657;2319.0;2319.0
9;0.99249053;0.9716353;639.0;639.0;0.09421074456556446;0.9716353;0.9716353;21889.0;21889.0;0.94451237;0.9110577;222.0;222.0;0.3640558219108826;0.9110577;0.9110577;2274.0;2274.0
