epoch;auc;categorical_accuracy;false_negatives;false_positives;loss;precision;recall;true_negatives;true_positives;val_auc;val_categorical_accuracy;val_false_negatives;val_false_positives;val_loss;val_precision;val_recall;val_true_negatives;val_true_positives
0;0.95014393;0.90185547;2211.0;2211.0;0.7350310931426727;0.90185547;0.90185547;20317.0;20317.0;0.9536971;0.8798077;300.0;300.0;0.2801341559642401;0.8798077;0.8798077;2196.0;2196.0
1;0.9905445;0.9550337;1013.0;1013.0;0.12101824037116868;0.9550337;0.9550337;21515.0;21515.0;0.9050094;0.8161058;459.0;459.0;0.49259601265956193;0.8161058;0.8161058;2037.0;2037.0
2;0.99565464;0.9704368;666.0;666.0;0.07836254957708827;0.9704368;0.9704368;21862.0;21862.0;0.90041244;0.8008814;497.0;497.0;0.5557141540906368;0.8008814;0.8008814;1999.0;1999.0
3;0.9973799;0.97878194;478.0;478.0;0.0574271788027545;0.97878194;0.97878194;22050.0;22050.0;0.86853695;0.76642627;583.0;583.0;0.8108927622819558;0.76642627;0.76642627;1913.0;1913.0
4;0.99785566;0.98286575;386.0;386.0;0.05017464918240545;0.98286575;0.98286575;22142.0;22142.0;0.87441725;0.7832532;541.0;541.0;0.8121567635964124;0.7832532;0.7832532;1955.0;1955.0
5;0.99775565;0.98157847;415.0;415.0;0.049879240043248334;0.98157847;0.98157847;22113.0;22113.0;0.91058904;0.8453526;386.0;386.0;0.6878837599204137;0.8453526;0.8453526;2110.0;2110.0
6;0.9991765;0.98828125;264.0;264.0;0.03192325145846553;0.98828125;0.98828125;22264.0;22264.0;0.92593277;0.853766;365.0;365.0;0.603691714696395;0.853766;0.853766;2131.0;2131.0
7;0.99800265;0.9852184;333.0;333.0;0.04238144555620238;0.9852184;0.9852184;22195.0;22195.0;0.8947506;0.8229167;442.0;442.0;0.7779729847724621;0.8229167;0.8229167;2054.0;2054.0
8;0.99928147;0.9902344;220.0;220.0;0.02650146635964616;0.9902344;0.9902344;22308.0;22308.0;0.9057136;0.8541667;364.0;364.0;0.8452293001688443;0.8541667;0.8541667;2132.0;2132.0
9;0.99933875;0.9924982;169.0;169.0;0.022281200795573983;0.9924982;0.9924982;22359.0;22359.0;0.88580686;0.8349359;412.0;412.0;1.2067354718844097;0.8349359;0.8349359;2084.0;2084.0
