epoch;auc_3;categorical_accuracy;false_negatives_3;false_positives_3;loss;precision_3;recall_3;true_negatives_3;true_positives_3;val_auc_3;val_categorical_accuracy;val_false_negatives_3;val_false_positives_3;val_loss;val_precision_3;val_recall_3;val_true_negatives_3;val_true_positives_3
0;0.95179534;0.9127752;1965.0;1965.0;1.2519709509268233;0.9127752;0.9127752;20563.0;20563.0;0.58407646;0.47796473;1303.0;1303.0;0.7081971153234824;0.47796473;0.47796473;1193.0;1193.0
1;0.99525803;0.9695934;685.0;685.0;0.08325281406128356;0.9695934;0.9695934;21843.0;21843.0;0.5683833;0.45833334;1352.0;1352.0;0.7912146861736591;0.45833334;0.45833334;1144.0;1144.0
2;0.998167;0.9833097;376.0;376.0;0.04719993113163086;0.9833097;0.9833097;22152.0;22152.0;0.5458836;0.44310898;1390.0;1390.0;1.3944753011067708;0.44310898;0.44310898;1106.0;1106.0
3;0.9981634;0.9854403;328.0;328.0;0.042481255546425185;0.9854403;0.9854403;22200.0;22200.0;0.5073019;0.4435096;1389.0;1389.0;1.3192182565346742;0.4435096;0.4435096;1107.0;1107.0
4;0.99842495;0.98832566;263.0;263.0;0.036161587021111205;0.98832566;0.98832566;22265.0;22265.0;0.53891397;0.44791666;1378.0;1378.0;1.5398843013323271;0.44791666;0.44791666;1118.0;1118.0
5;0.99880683;0.9910334;202.0;202.0;0.027518936950441872;0.9910334;0.9910334;22326.0;22326.0;0.53272724;0.44190705;1393.0;1393.0;2.2036236096651125;0.44190705;0.44190705;1103.0;1103.0
6;0.9990936;0.99200994;180.0;180.0;0.02334143583322078;0.99200994;0.99200994;22348.0;22348.0;0.5541299;0.4435096;1389.0;1389.0;2.105709513028463;0.4435096;0.4435096;1107.0;1107.0
7;0.9986764;0.9917436;186.0;186.0;0.027414223518152623;0.9917436;0.9917436;22342.0;22342.0;0.66191643;0.56490386;1086.0;1086.0;0.8809678646234366;0.56490386;0.56490386;1410.0;1410.0
8;0.99881625;0.9924982;169.0;169.0;0.023211758076570922;0.9924982;0.9924982;22359.0;22359.0;0.45120385;0.44310898;1390.0;1390.0;3.626112155425243;0.44310898;0.44310898;1106.0;1106.0
9;0.9995525;0.9942294;130.0;130.0;0.01659556067586333;0.9942294;0.9942294;22398.0;22398.0;0.44418812;0.44190705;1393.0;1393.0;4.374380350112915;0.44190705;0.44190705;1103.0;1103.0
