epoch;auc;categorical_accuracy;false_negatives;false_positives;loss;precision;recall;true_negatives;true_positives;val_auc;val_categorical_accuracy;val_false_negatives;val_false_positives;val_loss;val_precision;val_recall;val_true_negatives;val_true_positives
0;0.7469483;0.67902166;7231.0;7231.0;0.5955181305550716;0.67902166;0.67902166;15297.0;15297.0;0.80174774;0.7171474;706.0;706.0;0.5505018295385898;0.7171474;0.7171474;1790.0;1790.0
1;0.8458261;0.7712624;5153.0;5153.0;0.4885527554222129;0.7712624;0.7712624;17375.0;17375.0;0.8544178;0.78565705;535.0;535.0;0.47848265446149385;0.78565705;0.78565705;1961.0;1961.0
2;0.8738898;0.79585403;4599.0;4599.0;0.44604417419230397;0.79585403;0.79585403;17929.0;17929.0;0.86586744;0.7956731;510.0;510.0;0.4614396721888811;0.7956731;0.7956731;1986.0;1986.0
3;0.89479333;0.8167614;4128.0;4128.0;0.40986781520769;0.8167614;0.8167614;18400.0;18400.0;0.8673946;0.8008814;497.0;497.0;0.46144344256474423;0.8008814;0.8008814;1999.0;1999.0
4;0.91063744;0.8337624;3745.0;3745.0;0.37936876803128555;0.8337624;0.8337624;18783.0;18783.0;0.89360756;0.8265224;433.0;433.0;0.4202474485605191;0.8265224;0.8265224;2063.0;2063.0
5;0.92603546;0.8520952;3332.0;3332.0;0.3462063009342687;0.8520952;0.8520952;19196.0;19196.0;0.8763342;0.81490386;462.0;462.0;0.46713397976679677;0.81490386;0.81490386;2034.0;2034.0
6;0.9423299;0.8722479;2878.0;2878.0;0.3074490988457745;0.8722479;0.8722479;19650.0;19650.0;0.8674088;0.80809295;479.0;479.0;0.49508174260457355;0.80809295;0.80809295;2017.0;2017.0
7;0.9612235;0.8957741;2348.0;2348.0;0.253839796112681;0.8957741;0.8957741;20180.0;20180.0;0.86736053;0.80528843;486.0;486.0;0.5232621652957721;0.80528843;0.80528843;2010.0;2010.0
8;0.97261965;0.9132635;1954.0;1954.0;0.21376904726705767;0.9132635;0.9132635;20574.0;20574.0;0.8574079;0.78926283;526.0;526.0;0.6199584435193967;0.78926283;0.78926283;1970.0;1970.0
9;0.9807238;0.93115234;1551.0;1551.0;0.1793153695338829;0.93115234;0.93115234;20977.0;20977.0;0.8470412;0.7688301;577.0;577.0;0.6138052917443789;0.7688301;0.7688301;1919.0;1919.0
