epoch;auc;categorical_accuracy;false_negatives;false_positives;loss;precision;recall;true_negatives;true_positives;val_auc;val_categorical_accuracy;val_false_negatives;val_false_positives;val_loss;val_precision;val_recall;val_true_negatives;val_true_positives
0;0.8875913;0.8145863;4177.0;4177.0;0.42553028963844886;0.8145863;0.8145863;18351.0;18351.0;0.94615793;0.8866186;283.0;283.0;0.29872710888202375;0.8866186;0.8866186;2213.0;2213.0
1;0.9215684;0.84903234;3401.0;3401.0;0.3566747628025372;0.84903234;0.84903234;19127.0;19127.0;0.9552413;0.8922276;269.0;269.0;0.2834612024136079;0.8922276;0.8922276;2227.0;2227.0
2;0.93316466;0.86217153;3105.0;3105.0;0.32974159137599846;0.86217153;0.86217153;19423.0;19423.0;0.9522762;0.8922276;269.0;269.0;0.27921609771557343;0.8922276;0.8922276;2227.0;2227.0
3;0.9429444;0.87326884;2855.0;2855.0;0.3054045373997228;0.87326884;0.87326884;19673.0;19673.0;0.94534284;0.89102566;272.0;272.0;0.3036918980188859;0.89102566;0.89102566;2224.0;2224.0
4;0.95375323;0.8897816;2483.0;2483.0;0.2751606125384569;0.8897816;0.8897816;20045.0;20045.0;0.9554371;0.89503205;262.0;262.0;0.27364531541481996;0.89503205;0.89503205;2234.0;2234.0
5;0.9616476;0.8967507;2326.0;2326.0;0.25096089668063953;0.8967507;0.8967507;20202.0;20202.0;0.94523066;0.8838141;290.0;290.0;0.3082797064995154;0.8838141;0.8838141;2206.0;2206.0
6;0.9722686;0.9148171;1919.0;1919.0;0.21292784089349548;0.9148171;0.9148171;20609.0;20609.0;0.93354905;0.869391;326.0;326.0;0.3710199074867444;0.869391;0.869391;2170.0;2170.0
7;0.981464;0.93230647;1525.0;1525.0;0.17427062174432317;0.93230647;0.93230647;21003.0;21003.0;0.9281503;0.86899036;327.0;327.0;0.42232880301964587;0.86899036;0.86899036;2169.0;2169.0
8;0.98809737;0.94673294;1200.0;1200.0;0.13886329011240212;0.94673294;0.94673294;21328.0;21328.0;0.9398553;0.88261217;293.0;293.0;0.3764832592927493;0.88261217;0.88261217;2203.0;2203.0
9;0.99196106;0.9584961;935.0;935.0;0.11330099109115756;0.9584961;0.9584961;21593.0;21593.0;0.9410537;0.89302886;267.0;267.0;0.40559167758776593;0.89302886;0.89302886;2229.0;2229.0
